iter	Passed	Remaining
804	2088	505
805	2090	503
806	2093	500
807	2096	498
808	2099	495
809	2101	493
810	2104	490
811	2106	487
812	2109	485
813	2111	482
814	2113	479
815	2116	477
816	2118	474
817	2121	471
818	2123	469
819	2126	466
820	2129	464
821	2131	461
822	2134	458
823	2136	456
824	2138	453
825	2140	450
826	2143	448
827	2146	445
828	2148	443
829	2151	440
830	2153	437
831	2156	435
832	2159	432
833	2161	430
834	2164	427
835	2167	425
836	2169	422
837	2171	419
838	2174	417
839	2176	414
840	2178	411
841	2181	409
842	2184	406
843	2186	404
844	2188	401
845	2190	398
846	2193	396
847	2196	393
848	2199	391
849	2201	388
850	2203	385
851	2206	383
852	2209	380
853	2212	378
854	2214	375
855	2216	372
856	2218	370
857	2221	367
858	2224	365
859	2226	362
860	2228	359
861	2230	357
862	2232	354
863	2234	351
864	2237	349
865	2241	346
866	2243	344
867	2245	341
868	2247	338
869	2250	336
870	2253	333
871	2255	331
872	2258	328
873	2260	325
874	2262	323
875	2265	320
876	2268	318
877	2270	315
878	2272	312
879	2275	310
880	2277	307
881	2280	305
882	2282	302
883	2284	299
884	2286	297
885	2289	294
886	2292	292
887	2294	289
888	2296	286
889	2299	284
890	2302	281
891	2304	279
892	2307	276
893	2310	273
894	2313	271
895	2315	268
896	2317	266
897	2320	263
898	2322	260
899	2325	258
900	2327	255
901	2329	253
902	2332	250
903	2334	247
904	2336	245
905	2339	242
906	2342	240
907	2344	237
908	2347	234
909	2350	232
910	2352	229
911	2355	227
912	2357	224
913	2360	222
914	2362	219
915	2364	216
916	2367	214
917	2369	211
918	2372	209
919	2374	206
920	2376	203
921	2379	201
922	2382	198
923	2384	196
924	2387	193
925	2390	191
926	2392	188
927	2395	185
928	2397	183
929	2399	180
930	2401	178
931	2404	175
932	2406	172
933	2409	170
934	2411	167
935	2413	165
936	2416	162
937	2418	159
938	2421	157
939	2423	154
940	2426	152
941	2428	149
942	2431	146
943	2433	144
944	2436	141
945	2438	139
946	2440	136
947	2443	134
948	2446	131
949	2448	128
950	2450	126
951	2454	123
952	2456	121
953	2458	118
954	2460	115
955	2463	113
956	2466	110
957	2468	108
958	2471	105
959	2473	103
960	2475	100
961	2478	97
962	2480	95
963	2482	92
964	2485	90
965	2487	87
966	2489	84
967	2492	82
968	2494	79
969	2496	77
970	2499	74
971	2502	72
972	2505	69
973	2507	66
974	2510	64
975	2512	61
976	2514	59
977	2517	56
978	2520	54
979	2522	51
980	2525	48
981	2527	46
982	2530	43
983	2532	41
984	2535	38
985	2538	36
986	2540	33
987	2543	30
988	2545	28
989	2548	25
990	2550	23
991	2553	20
992	2556	18
993	2560	15
994	2562	12
995	2565	10
996	2568	7
997	2570	5
998	2573	2
999	2575	0
